"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"8433",3,1,3,2,2,2,4,3,7,3
"8434",3,2,1,2,5,1,0,4,5,8
"8435",1,7,2,4,5,4,4,4,4,6
"8436",4,8,3,4,6,4,3,10,5,9
"8437",3,4,3,6,4,5,1,6,8,14
"8438",1,3,0,1,4,1,1,4,2,7
"8439",4,3,1,3,5,5,5,3,6,9
"8440",4,4,0,6,3,8,4,3,8,8
"8441",1,7,2,4,5,4,4,4,4,6
"8442",0,6,0,1,5,1,0,6,0,11
"8443",2,7,4,2,6,3,4,8,6,11
"8444",5,7,3,5,7,4,4,8,11,13
"8445",2,5,4,3,2,4,2,6,8,9
"8446",5,5,3,3,4,3,4,4,7,6
"8447",3,2,2,2,4,3,1,3,2,6
"8448",2,4,2,2,2,3,3,1,5,4
"8449",5,2,2,6,1,2,3,2,7,4
"8450",2,0,2,3,0,2,1,0,4,1
"8451",4,8,3,6,7,5,1,6,8,11
"8452",1,2,1,1,3,2,0,2,1,4
"8453",5,2,3,5,4,7,1,4,8,10
"8454",1,2,1,3,6,6,4,4,7,7
"8455",8,3,9,11,2,9,3,3,22,4
"8456",1,7,0,1,13,2,4,8,3,13
"8457",1,2,1,1,3,2,0,2,3,6
"8458",6,6,7,8,3,4,2,2,12,7
"8459",0,2,0,0,0,1,1,0,1,0
"8460",2,2,1,2,4,2,1,6,2,11
"8461",11,10,8,13,8,9,1,10,20,19
"8462",2,2,0,3,5,4,0,5,4,7
"8463",1,3,1,1,2,1,0,2,2,4
"8464",2,5,1,3,7,1,3,11,3,10
"8465",3,2,2,3,2,4,1,2,6,5
"8466",4,6,0,3,6,0,4,5,2,7
"8467",1,2,0,2,2,4,0,5,3,6
"8468",1,2,1,1,0,1,1,1,2,2
"8469",3,4,3,2,6,4,4,6,5,10
"8470",2,2,1,2,2,2,2,2,2,6
"8471",3,4,3,6,4,5,1,6,8,14
"8472",5,4,6,4,5,4,4,8,7,9
"8473",4,6,3,5,4,6,4,6,9,10
"8474",3,4,3,6,4,5,1,6,8,14
"8475",1,2,1,1,0,1,1,1,2,2
"8476",1,0,2,1,0,1,0,0,2,0
"8477",4,2,0,2,2,2,2,1,6,4
"8478",1,4,1,1,4,2,1,4,3,12
"8479",3,3,4,3,2,5,1,2,5,8
"8480",2,2,2,2,3,3,1,6,4,6
"8481",0,0,0,1,1,2,1,0,4,2
"8482",1,1,1,3,1,2,2,2,2,2
"8483",2,6,1,4,7,2,3,4,2,8
"8484",2,2,1,1,2,4,3,3,4,3
"8485",2,2,3,3,4,3,2,2,4,6
"8486",2,1,1,3,1,3,1,2,6,1
"8487",1,2,0,1,1,2,2,2,3,3
"8488",5,0,4,3,2,6,1,4,8,4
"8489",2,1,0,1,1,1,1,2,2,2
"8490",1,3,0,3,3,1,3,2,2,3
"8491",1,2,1,1,2,2,2,2,2,4
"8492",3,8,2,5,10,4,4,9,3,14
"8493",6,4,4,7,5,7,8,4,14,11
"8494",1,2,1,3,4,1,3,4,1,5
"8495",4,2,2,4,4,5,5,4,9,6
"8496",1,4,0,1,2,1,2,2,3,6
"8497",3,4,3,5,7,3,5,7,6,12
"8498",4,2,2,3,2,3,1,0,6,4
"8499",3,2,3,2,1,4,0,1,7,3
"8500",1,0,1,0,0,2,0,1,2,1
"8501",4,5,3,6,2,6,2,2,8,2
"8502",2,2,1,3,3,4,2,4,5,5
"8503",5,2,2,4,1,5,2,1,8,6
"8504",4,4,3,5,5,5,3,6,7,7
"8505",2,6,2,3,6,5,5,7,5,11
"8506",1,5,2,4,3,2,1,3,5,3
"8507",3,2,1,5,5,5,2,2,7,6
"8508",4,5,2,5,6,7,4,4,9,8
"8509",4,4,3,4,3,2,2,5,5,10
"8510",0,2,1,2,2,1,2,5,3,6
"8511",6,8,3,4,6,4,1,5,12,10
"8512",3,3,1,3,3,2,3,3,6,4
"8513",3,8,1,7,6,2,5,5,10,12
"8514",4,6,1,6,6,3,7,4,8,8
"8515",2,3,1,0,2,2,2,2,3,4
"8516",1,5,0,1,4,2,2,4,2,13
"8517",0,0,0,1,4,0,1,2,0,5
"8518",1,5,0,3,10,3,5,5,2,12
"8519",3,2,0,1,1,1,0,0,2,1
"8520",1,0,1,1,1,1,1,1,2,8
"8521",4,5,2,6,6,4,3,3,7,11
"8522",1,3,1,2,2,1,3,0,1,3
"8523",1,3,3,2,2,0,1,2,3,5
"8524",2,5,1,3,5,2,3,4,4,8
"8525",2,3,0,3,4,5,1,6,6,8
"8526",1,3,2,5,1,2,0,2,7,2
"8527",2,4,3,4,7,3,2,5,5,11
"8528",0,4,2,3,4,3,3,3,5,6
"8529",2,6,0,2,5,2,2,2,3,7
"8530",4,5,2,4,3,10,3,4,11,10
"8531",4,8,5,9,7,7,4,7,14,9
"8532",5,4,0,8,0,3,2,2,9,3
"8533",2,3,2,4,4,4,5,4,6,7
"8534",4,2,3,4,1,4,2,2,7,7
"8535",4,5,3,5,9,6,7,7,6,10
"8536",4,4,3,4,6,7,3,4,9,6
"8537",9,10,8,9,13,5,9,9,16,15
"8538",1,4,2,3,3,2,1,3,3,8
"8539",5,4,2,4,5,4,1,4,6,10
"8540",4,6,4,11,6,11,8,4,13,7
"8541",1,2,1,3,1,0,2,2,5,5
"8542",1,1,1,2,1,1,0,1,1,3
"8543",4,8,3,4,8,4,4,6,8,12
"8544",4,5,2,4,7,7,2,5,10,9
"8545",5,6,3,8,7,5,5,4,6,9
"8546",1,7,2,4,5,4,4,6,4,11
"8547",3,6,1,7,5,6,2,7,10,13
"8548",4,6,2,5,4,3,3,4,8,7
"8549",3,8,1,5,6,6,6,3,9,8
"8550",0,2,1,2,2,1,2,5,3,6
"8551",2,6,3,6,4,6,3,4,9,6
"8552",2,2,2,5,1,3,0,0,7,5
"8553",6,4,2,5,7,10,4,6,11,12
"8554",4,3,2,3,5,4,5,5,6,9
"8555",1,1,0,1,0,1,1,0,0,1
"8556",2,7,1,2,10,4,5,8,7,13
"8557",1,6,2,4,5,4,4,2,5,6
"8558",2,9,1,6,8,4,4,6,5,11
"8559",8,11,7,13,10,8,7,7,13,15
"8560",3,2,0,3,3,3,5,3,6,4
"8561",3,6,3,3,9,3,3,6,3,11
"8562",1,0,3,3,0,2,1,1,5,1
"8563",1,5,0,1,5,0,2,4,0,7
"8564",3,7,3,5,6,5,5,3,7,8
"8565",8,0,3,10,0,8,4,0,14,3
"8566",2,3,0,3,4,5,1,6,6,8
"8567",2,3,0,1,5,2,2,4,2,5
"8568",1,1,2,3,0,4,0,2,6,2
"8569",6,2,2,4,6,5,4,5,8,10
"8570",3,1,2,5,0,4,3,0,7,1
"8571",2,4,4,2,4,2,5,5,7,10
"8572",3,6,3,3,2,3,1,0,6,7
"8573",0,0,0,3,2,3,1,3,3,2
"8574",7,6,3,10,5,5,3,5,10,8
"8575",2,4,1,6,4,5,3,3,9,5
"8576",2,2,1,2,2,4,0,3,5,4
"8577",4,5,4,6,3,4,4,4,9,9
"8578",0,2,1,2,2,2,1,1,2,3
"8579",1,3,1,2,3,4,3,5,6,8
"8580",2,3,0,3,2,3,0,1,7,5
"8581",1,10,1,3,6,4,6,5,5,9
"8582",1,4,2,3,1,3,0,3,7,4
"8583",2,5,2,3,6,5,2,5,7,7
"8584",3,3,2,2,3,3,6,3,4,7
"8585",5,7,9,13,7,8,5,5,18,10
"8586",1,3,4,3,2,4,1,2,6,3
"8587",1,4,3,2,3,1,1,3,3,5
"8588",7,7,4,4,10,5,5,11,17,18
"8589",2,4,2,1,3,2,4,4,5,5
"8590",2,5,1,3,4,5,4,5,4,9
"8591",1,2,0,3,3,2,2,4,3,4
"8592",0,2,0,1,1,3,0,0,2,2
"8593",6,6,0,8,3,3,2,3,10,11
"8594",2,5,1,4,6,2,5,5,6,8
"8595",3,1,1,4,4,3,0,3,5,7
"8596",10,9,6,8,9,5,6,7,17,16
"8597",0,5,1,1,4,1,1,5,3,7
"8598",0,1,0,1,0,0,0,0,1,2
"8599",3,1,1,3,3,4,1,2,7,5
"8600",4,3,3,4,1,4,1,3,8,3
"8601",3,2,0,1,1,1,0,0,2,1
"8602",2,5,4,3,4,2,1,4,5,7
"8603",0,3,1,0,4,3,5,3,5,7
"8604",13,19,6,18,15,18,8,13,24,29
"8605",1,6,1,2,3,4,5,5,6,9
"8606",0,4,0,1,5,0,3,4,0,8
"8607",5,8,1,8,5,6,7,4,7,9
"8608",1,4,1,3,5,3,2,3,4,11
"8609",6,6,4,4,9,3,4,5,5,12
"8610",2,4,1,8,6,4,1,7,12,14
"8611",5,5,3,2,6,3,4,5,8,8
"8612",3,6,0,6,6,5,6,7,5,10
"8613",1,3,2,2,2,2,2,1,3,4
"8614",2,1,3,2,1,1,2,1,4,5
"8615",2,4,2,1,3,2,4,4,5,5
"8616",1,3,2,2,2,2,2,1,3,4
"8617",6,6,0,8,3,3,2,3,10,11
"8618",4,4,3,4,3,2,2,5,5,10
"8619",2,4,3,4,7,3,2,5,5,11
"8620",1,3,2,2,2,2,2,1,3,4
"8621",1,1,2,3,0,4,0,2,6,2
"8622",3,3,2,2,3,3,6,3,4,7
"8623",1,1,2,3,0,4,0,2,6,2
"8624",6,6,4,4,9,3,4,5,5,12
"8625",3,6,0,6,6,5,6,7,5,10
"8626",1,6,1,2,3,4,5,5,6,9
"8627",1,3,2,2,2,2,2,1,3,4
"8628",1,3,2,2,2,2,2,1,3,4
"8629",6,6,4,4,9,3,4,5,5,12
"8630",1,4,1,3,5,3,2,3,4,11
"8631",2,9,1,6,8,4,4,6,5,11
"8632",4,1,0,4,1,5,1,3,8,6
"8633",2,2,0,1,1,3,0,1,4,6
"8634",3,1,1,3,0,1,1,0,4,1
"8635",1,0,0,0,1,0,0,1,2,1
"8636",3,3,0,4,7,3,2,6,10,10
"8637",4,1,0,4,1,6,1,3,8,6
"8638",2,5,1,2,6,1,3,2,2,8
"8639",0,2,0,1,2,0,0,1,2,3
"8640",1,3,3,0,2,1,1,3,3,5
"8641",3,1,2,4,3,4,4,0,8,8
"8642",3,3,0,4,6,3,2,5,10,9
"8643",3,1,0,3,1,5,1,3,6,2
"8644",2,1,1,6,1,2,0,2,6,2
"8645",4,1,2,5,2,2,1,2,4,2
"8646",2,0,1,2,1,3,0,0,3,2
"8647",2,0,1,2,1,3,0,0,3,2
"8648",0,5,2,0,5,2,4,7,6,7
"8649",3,1,0,4,1,6,1,2,7,5
"8650",0,5,2,0,5,2,4,7,6,7
"8651",1,6,4,4,6,8,5,7,11,10
"8652",1,2,0,1,4,1,1,3,0,6
"8653",1,2,2,2,0,1,0,0,3,0
"8654",4,1,0,4,1,6,1,3,8,6
"8655",3,1,0,3,1,5,1,3,6,2
"8656",3,5,3,2,4,4,2,5,6,14
"8657",2,1,1,6,1,2,0,2,6,2
"8658",3,1,2,4,3,4,4,0,8,8
"8659",2,1,1,6,1,2,0,2,6,2
"8660",4,1,0,3,1,0,2,0,5,4
"8661",2,2,2,1,4,3,1,3,3,6
"8662",6,9,6,5,7,8,4,6,10,11
"8663",0,0,1,1,0,0,0,1,1,1
"8664",4,2,1,6,4,6,2,4,9,6
"8665",3,6,1,7,8,6,3,7,9,8
"8666",3,5,2,4,4,3,1,5,6,8
"8667",0,3,0,2,4,2,1,5,3,6
"8668",6,4,4,7,6,8,2,8,11,8
"8669",2,5,2,3,7,4,2,7,3,9
"8670",4,3,2,7,2,6,3,3,11,3
"8671",2,4,1,4,3,4,2,4,4,7
"8672",2,3,2,5,3,6,3,4,6,3
"8673",4,4,3,6,4,4,2,6,7,8
"8674",3,2,1,2,2,1,2,1,4,5
"8675",5,2,4,6,2,10,4,2,13,4
"8676",5,2,3,5,1,6,1,6,9,5
"8677",4,3,2,7,1,7,1,1,12,4
"8678",4,4,3,7,6,9,3,8,12,12
"8679",2,6,3,5,6,4,4,6,8,7
"8680",2,2,0,2,2,3,0,1,6,5
"8681",2,1,3,4,2,6,3,3,5,5
"8682",3,3,3,4,1,7,3,1,10,4
"8683",7,2,5,8,1,8,4,2,14,3
"8684",4,5,4,4,2,3,2,4,6,5
"8685",3,3,1,4,2,3,2,1,7,4
"8686",4,4,4,8,4,8,5,5,14,9
"8687",3,1,6,5,2,7,1,2,12,3
"8688",6,1,6,7,1,4,2,4,12,6
"8689",3,4,2,6,3,3,1,3,11,7
"8690",2,5,1,6,2,5,3,2,9,5
"8691",6,2,2,3,2,5,0,3,13,5
"8692",2,2,1,3,1,5,0,2,6,3
"8693",3,7,1,7,6,7,4,8,11,11
"8694",1,1,2,0,0,4,1,2,10,2
"8695",7,3,6,8,1,10,2,2,16,2
"8696",5,2,2,4,1,4,0,4,6,5
"8697",2,5,2,3,4,4,1,4,9,5
"8698",6,4,4,5,4,5,2,5,9,5
"8699",1,2,1,1,1,1,1,1,4,1
"8700",5,0,4,5,3,4,0,1,13,5
"8701",2,3,0,4,4,1,3,3,5,5
"8702",3,3,2,6,1,6,1,1,11,1
"8703",7,3,5,6,3,8,2,3,13,3
"8704",3,2,0,3,1,6,1,4,8,3
"8705",3,4,0,4,4,1,3,5,4,4
"8706",1,1,1,3,2,3,2,2,6,3
"8707",2,3,2,2,4,3,3,5,6,6
"8708",0,1,0,0,1,1,0,1,4,4
"8709",5,3,1,9,4,6,1,2,10,5
"8710",2,4,1,4,8,5,3,6,7,10
"8711",1,2,1,4,3,4,1,3,5,4
"8712",2,2,1,1,5,3,3,4,6,5
"8713",4,3,0,5,1,6,1,2,10,2
"8714",4,0,2,4,0,10,1,1,10,3
"8715",2,5,2,8,4,6,2,4,12,5
"8716",3,2,3,4,1,7,1,1,8,2
"8717",6,2,7,7,0,9,2,3,15,2
"8718",2,0,2,3,1,5,1,1,6,2
"8719",1,2,1,2,2,2,1,4,2,4
"8720",2,3,2,3,1,6,1,1,9,2
"8721",4,2,3,5,3,8,3,3,11,4
"8722",5,4,5,6,2,4,3,3,10,4
"8723",5,6,3,4,3,4,0,4,8,4
"8724",2,3,0,4,1,1,0,5,7,5
"8725",2,5,1,1,3,4,3,3,6,7
"8726",0,2,0,2,0,4,0,0,7,1
"8727",5,6,2,5,5,5,3,5,8,9
"8728",8,2,7,7,0,6,0,1,14,1
"8729",3,6,1,5,4,5,2,4,9,6
"8730",6,8,4,6,5,3,3,6,9,10
"8731",6,6,4,7,5,5,4,6,12,11
"8732",1,2,2,3,2,5,3,4,7,7
"8733",1,4,0,2,4,2,2,6,4,6
"8734",3,7,4,4,3,4,4,5,6,8
"8735",4,3,2,7,2,6,3,3,11,3
"8736",3,3,4,3,4,4,0,3,7,5
"8737",1,2,1,1,3,1,1,3,1,3
"8738",5,2,4,3,1,5,2,1,8,2
"8739",2,1,1,2,2,2,0,3,4,3
"8740",2,2,2,2,1,2,0,3,3,1
"8741",0,2,0,1,1,0,0,1,1,3
"8742",1,2,0,1,2,1,2,1,1,3
"8743",1,2,0,1,2,1,2,1,1,3
"8744",2,1,2,1,2,2,1,3,2,2
"8745",4,2,3,3,0,5,1,2,8,2
"8746",4,2,3,6,2,3,4,3,8,5
"8747",1,5,1,3,3,0,0,3,5,7
"8748",1,3,2,0,1,4,0,2,3,3
"8749",0,3,1,0,3,0,0,2,1,4
"8750",4,4,3,5,3,2,3,4,8,4
"8751",5,1,3,4,1,5,3,0,8,3
"8752",2,3,0,1,2,1,0,2,4,2
"8753",3,6,1,2,7,2,3,5,3,10
"8754",1,4,2,0,2,2,0,1,3,6
"8755",1,3,2,1,3,4,4,3,5,3
"8756",0,0,0,0,1,0,1,1,1,2
"8757",6,3,5,7,3,6,2,2,13,3
"8758",1,1,0,1,1,0,0,0,0,1
"8759",2,1,1,3,1,3,1,3,4,5
"8760",0,3,0,0,1,2,2,4,6,7
"8761",7,1,3,4,2,6,4,1,8,3
"8762",1,2,2,2,3,5,2,2,10,6
"8763",2,2,2,2,4,2,3,3,4,6
"8764",3,5,5,3,4,3,1,5,7,8
"8765",1,3,1,2,3,2,3,2,3,6
"8766",3,0,0,1,0,3,0,0,6,3
"8767",2,4,0,4,3,4,3,3,7,4
"8768",1,2,2,2,3,5,2,2,10,6
"8769",3,4,1,4,5,7,3,4,9,7
"8770",4,4,3,2,0,2,1,1,8,3
"8771",2,1,2,2,1,1,1,4,4,6
"8772",3,4,1,4,5,3,3,2,5,7
"8773",2,2,2,3,1,2,2,1,3,2
"8774",5,4,1,6,3,3,3,2,6,5
"8775",2,1,2,3,0,5,2,1,6,2
"8776",3,4,1,5,3,4,1,3,7,4
"8777",0,2,0,1,1,0,0,2,0,3
"8778",0,3,0,1,0,2,1,2,2,2
"8779",1,0,1,3,1,3,1,2,3,2
"8780",1,1,1,1,1,2,1,0,3,2
"8781",1,0,1,1,1,1,0,0,3,0
"8782",6,3,2,8,4,8,3,2,9,4
"8783",1,1,3,3,0,4,0,1,9,1
"8784",2,4,1,2,5,4,1,3,5,7
"8785",1,2,1,1,3,1,0,1,1,4
"8786",2,6,1,3,5,3,3,3,4,7
"8787",1,3,0,0,3,2,0,4,2,6
"8788",2,1,1,3,0,3,2,1,7,1
"8789",3,1,2,3,2,4,2,1,4,4
"8790",2,2,1,0,2,2,1,3,2,5
"8791",0,9,1,4,13,2,2,10,2,18
"8792",0,2,0,0,2,0,1,3,1,9
"8793",0,6,0,0,5,0,0,3,0,7
"8794",2,1,2,1,4,1,1,3,1,5
"8795",1,5,1,0,4,2,4,5,4,7
"8796",3,3,3,5,4,3,4,1,6,5
"8797",1,1,1,1,3,1,3,4,1,6
"8798",1,8,1,4,14,3,4,13,4,19
"8799",1,3,1,3,2,3,1,3,3,4
"8800",2,10,2,2,15,2,5,11,2,17
"8801",5,4,1,6,3,3,3,2,6,5
"8802",2,6,0,5,8,5,1,7,4,15
"8803",3,6,0,1,7,1,1,6,4,11
"8804",1,3,1,4,3,3,1,4,3,8
"8805",1,0,1,4,2,3,1,2,4,3
"8806",0,4,1,2,7,1,2,9,1,15
"8807",0,3,0,1,0,2,0,3,2,4
"8808",0,1,0,1,2,3,0,1,3,3
"8809",0,4,1,1,3,1,2,3,2,5
"8810",4,0,3,5,0,9,1,0,9,1
"8811",2,2,4,2,3,3,1,3,6,3
"8812",3,1,7,4,4,4,0,2,8,4
"8813",4,1,3,7,2,4,3,2,6,8
"8814",2,3,1,4,4,1,0,5,4,5
"8815",0,2,0,1,1,1,0,2,2,6
"8816",4,3,4,5,3,8,1,2,11,7
"8817",1,1,1,1,1,1,1,1,2,2
"8818",2,4,2,5,5,2,2,4,3,6
"8819",1,3,2,3,6,1,3,5,3,7
"8820",6,3,3,5,2,4,1,2,8,5
"8821",3,2,3,7,4,9,3,3,9,6
"8822",2,3,2,5,1,3,1,2,7,3
"8823",6,2,3,6,4,4,1,5,8,9
"8824",5,3,5,8,5,10,5,2,11,10
"8825",5,4,2,6,6,2,4,2,2,8
"8826",1,3,0,1,5,2,4,7,6,12
"8827",2,4,2,2,1,2,3,3,2,5
"8828",2,4,2,2,1,2,3,3,2,5
"8829",2,6,2,4,11,5,4,3,7,14
"8830",4,3,1,4,1,7,0,2,7,5
"8831",1,3,0,1,5,5,3,6,6,11
"8832",1,2,0,1,4,1,1,5,5,8
"8833",2,3,1,3,4,4,1,2,7,6
"8834",1,3,0,3,0,1,1,3,4,9
"8835",2,9,1,4,9,1,4,10,2,18
"8836",3,7,1,7,6,7,4,4,11,13
"8837",6,4,6,7,4,3,1,7,10,10
"8838",4,5,3,4,5,8,5,4,8,10
"8839",3,2,2,3,5,3,1,2,5,9
"8840",7,4,1,11,4,6,2,2,12,10
"8841",3,4,0,4,5,3,2,4,10,6
"8842",4,4,2,7,7,5,3,6,10,10
"8843",2,3,1,3,4,4,1,2,7,5
"8844",1,3,1,2,6,4,3,3,4,11
"8845",1,2,0,1,3,4,1,0,6,5
"8846",3,5,1,2,6,3,3,6,6,10
"8847",1,2,1,4,3,2,0,4,7,7
"8848",2,8,2,4,6,4,4,3,8,8
"8849",5,4,3,5,4,5,4,3,9,5
"8850",3,8,3,9,6,8,7,6,12,13
"8851",1,2,2,2,2,2,2,1,4,4
"8852",1,5,1,2,6,1,1,5,4,11
"8853",2,4,1,4,4,4,4,4,8,9
"8854",3,1,3,2,4,4,3,4,5,8
"8855",3,4,3,4,6,6,2,7,8,10
"8856",4,1,1,6,2,7,1,3,13,7
"8857",2,6,2,4,3,2,3,3,4,6
"8858",6,4,3,6,7,5,5,5,7,13
"8859",4,7,3,5,7,5,2,4,8,12
"8860",5,1,3,3,2,5,2,1,8,5
"8861",2,3,0,2,5,2,2,5,2,10
"8862",1,3,0,1,5,5,3,6,6,11
"8863",2,1,2,2,4,3,0,5,4,7
"8864",3,1,1,6,3,3,1,4,6,5
"8865",0,2,0,1,6,3,1,5,4,7
"8866",2,3,0,2,5,2,2,5,2,10
"8867",6,3,4,5,4,5,2,5,9,8
"8868",2,3,3,3,3,4,2,3,4,6
"8869",2,4,2,1,5,3,2,4,3,10
"8870",3,4,1,3,0,5,3,1,6,3
"8871",4,1,3,2,2,3,2,1,5,5
"8872",0,3,0,2,4,1,1,3,2,4
"8873",2,4,1,3,3,5,2,2,2,5
"8874",4,0,4,4,3,3,0,2,6,3
"8875",0,3,0,2,4,3,2,2,3,5
"8876",4,3,3,5,4,5,3,4,10,9
"8877",3,4,2,6,7,3,4,4,7,8
"8878",6,7,3,9,6,5,6,6,15,15
"8879",4,3,4,8,3,8,2,4,12,6
"8880",3,1,3,5,1,3,1,0,7,3
"8881",4,7,2,4,5,4,3,5,12,11
"8882",9,7,5,14,5,12,6,2,17,9
"8883",2,3,0,1,5,1,2,3,2,6
"8884",1,7,1,3,4,1,5,6,3,7
"8885",0,6,1,3,6,4,3,5,5,11
"8886",8,4,3,6,2,6,2,3,13,4
"8887",0,1,0,2,2,3,1,2,4,2
"8888",4,6,2,6,5,5,2,5,11,11
"8889",10,6,6,10,5,9,4,9,18,9
"8890",2,4,1,4,3,3,2,3,5,5
"8891",3,5,3,3,4,2,3,7,5,6
"8892",3,1,1,3,3,2,1,3,4,7
"8893",0,3,0,5,2,3,1,3,7,7
"8894",5,4,3,10,3,11,2,5,17,5
"8895",2,3,2,4,3,1,2,5,5,6
"8896",4,2,1,4,4,6,1,6,7,8
"8897",8,6,6,12,3,7,2,6,15,6
"8898",6,4,2,7,3,7,3,4,12,7
"8899",2,4,1,3,2,2,1,3,5,5
"8900",2,2,0,2,1,4,0,1,8,3
"8901",2,3,0,1,4,2,2,3,5,5
"8902",3,10,2,2,5,1,5,2,3,9
"8903",5,2,1,4,1,4,1,1,7,2
"8904",5,2,3,6,1,4,2,2,9,8
"8905",3,1,2,7,3,5,2,3,11,6
"8906",6,3,1,8,2,3,4,3,8,5
"8907",2,7,0,2,4,0,1,5,2,7
"8908",3,3,1,3,2,3,1,3,7,4
"8909",10,4,6,12,6,8,3,9,21,14
"8910",7,8,5,7,8,7,6,9,12,13
"8911",3,7,3,6,6,7,6,9,7,9
"8912",5,8,3,8,5,6,8,6,9,10
"8913",5,2,2,6,5,5,1,7,11,8
"8914",5,3,3,4,4,5,3,3,6,6
"8915",3,3,0,2,2,3,2,5,7,8
"8916",2,7,0,7,3,6,3,8,11,8
"8917",3,5,2,6,5,5,3,6,9,8
"8918",4,3,2,3,1,4,1,2,5,5
"8919",0,1,0,1,3,2,2,4,5,6
"8920",3,3,1,3,4,6,4,6,10,9
"8921",1,3,2,3,3,6,3,3,8,5
"8922",2,0,1,3,1,5,2,2,8,4
"8923",1,3,0,2,2,3,2,4,6,5
"8924",0,0,0,1,1,0,0,2,0,2
"8925",0,7,0,0,5,1,1,6,2,8
"8926",4,4,2,5,1,5,2,1,7,2
"8927",5,5,4,5,6,5,5,5,8,10
"8928",3,3,2,4,4,8,2,5,9,6
"8929",2,3,0,1,3,5,2,3,5,3
"8930",3,3,1,2,2,3,3,1,5,2
"8931",3,5,2,2,3,3,2,3,6,7
"8932",1,1,1,1,1,6,2,1,6,2
"8933",1,5,0,3,5,3,2,7,4,7
"8934",3,1,3,3,1,4,4,2,7,3
"8935",2,0,1,1,0,3,1,0,4,1
"8936",2,3,1,5,4,6,2,4,9,6
"8937",2,1,1,1,0,3,1,1,5,2
"8938",2,3,2,5,4,5,3,5,8,6
"8939",5,0,2,3,1,8,0,3,11,2
"8940",2,4,2,4,3,4,2,5,5,8
"8941",1,1,0,2,0,1,2,0,4,2
"8942",3,3,0,6,3,5,1,5,7,7
"8943",2,4,0,3,1,2,1,3,6,5
"8944",3,2,2,2,2,4,2,5,8,6
"8945",2,2,2,6,4,6,0,3,6,5
"8946",2,0,2,3,2,2,1,1,3,4
"8947",2,3,1,2,3,2,1,1,4,3
"8948",1,2,1,4,2,3,1,2,3,2
"8949",1,1,1,5,2,6,2,1,7,3
"8950",1,1,0,1,2,1,0,1,2,3
"8951",3,4,3,2,3,2,4,3,3,6
"8952",2,3,1,4,5,4,2,4,7,8
"8953",3,6,5,3,7,1,5,6,10,9
"8954",2,6,1,3,6,5,4,3,6,8
"8955",2,1,3,2,1,2,0,2,4,2
"8956",1,1,0,2,0,3,0,1,4,1
"8957",2,6,4,5,4,5,3,6,11,6
"8958",0,3,0,1,3,2,0,2,3,4
"8959",0,4,1,1,2,1,2,1,4,2
"8960",3,3,0,4,5,2,4,4,5,8
"8961",1,2,2,1,3,1,2,2,1,4
"8962",0,3,0,0,2,0,1,2,0,3
"8963",4,2,2,3,3,2,3,1,4,4
"8964",2,2,2,2,3,2,1,2,3,5
"8965",5,4,3,6,2,5,2,4,8,5
"8966",2,4,1,3,3,2,2,1,7,4
"8967",2,3,0,4,1,1,1,1,3,2
"8968",4,9,3,3,6,4,5,3,8,10
"8969",4,2,1,2,3,1,2,3,4,6
"8970",1,3,1,3,0,2,0,0,3,3
"8971",3,0,0,1,1,5,0,2,8,8
"8972",6,3,2,4,5,5,3,4,10,7
"8973",2,5,2,4,6,2,3,6,5,12
"8974",2,2,1,4,5,4,3,5,6,7
"8975",8,2,4,8,1,9,2,2,13,5
"8976",1,2,1,1,1,2,0,1,2,4
"8977",1,2,2,1,3,4,2,5,4,7
"8978",2,4,2,2,1,3,1,4,4,4
"8979",6,4,4,5,1,6,2,2,9,2
"8980",2,1,0,2,0,0,0,1,3,2
"8981",1,2,0,4,2,2,0,3,1,5
"8982",1,2,2,2,2,2,0,2,3,3
"8983",3,2,3,3,1,2,1,2,4,3
"8984",2,1,1,2,3,5,2,1,7,5
"8985",2,6,1,3,2,2,1,4,3,6
"8986",0,0,1,1,0,3,1,0,4,0
"8987",2,4,1,2,4,3,2,2,7,5
"8988",2,5,1,2,4,1,2,3,4,8
"8989",2,2,2,3,2,2,2,1,4,2
"8990",1,4,1,1,3,2,3,2,3,6
"8991",3,4,1,5,2,3,0,1,5,3
"8992",1,9,1,2,1,4,1,2,7,5
"8993",5,5,4,6,6,4,3,8,11,11
"8994",1,0,1,2,3,2,0,1,2,5
"8995",1,5,1,3,4,4,3,4,6,5
"8996",1,6,1,4,4,3,3,4,5,8
"8997",1,7,2,3,6,3,4,6,4,12
"8998",3,2,3,3,3,4,1,2,4,4
"8999",3,3,3,7,2,7,1,3,10,4
"9000",3,3,5,7,4,5,1,2,12,6
"9001",5,7,2,5,5,5,3,9,6,16
"9002",2,1,1,4,2,2,1,4,5,3
"9003",7,5,5,8,6,3,1,6,14,8
"9004",1,6,7,5,4,4,4,7,12,8
"9005",3,6,2,3,4,4,1,4,8,5
"9006",4,1,4,3,0,5,1,1,5,1
"9007",3,2,4,4,3,3,3,3,9,8
"9008",4,4,2,4,3,2,3,7,6,9
"9009",7,5,6,7,5,7,5,6,13,8
"9010",1,2,2,2,1,1,2,1,2,3
"9011",1,1,2,1,0,0,1,0,2,1
"9012",1,2,1,1,1,1,0,1,3,5
"9013",9,5,6,11,1,12,2,3,12,9
